#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	CFSAN064163	"CFSAN064163,""KP-101"",""SRS3126453"""	Elisabethville	PDT000303437.2	2018-04-05T14:43:40Z	Nigeria	pig stool	environmental/other	PDS000093403.5	3.0	38.0	SAMN07135279	GCA_010573885.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
Salmonella enterica	CFSAN064135	"CFSAN064135,""KP-288"",""SRS3126457"""	Amina	PDT000303438.2	2018-04-05T14:43:40Z	Nigeria	pig stool	environmental/other				SAMN07135236	GCA_010787395.1		antigen_formula=16:i:1,5,serotype=Amina
Salmonella enterica	CFSAN064160	"CFSAN064160,""KP-41"",""SRS3126514"""	Elisabethville	PDT000303442.2	2018-04-05T14:43:41Z	Nigeria	pig stool	environmental/other	PDS000029271.2	2.0		SAMN07135282	GCA_010787375.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
Salmonella enterica	CFSAN064136	"CFSAN064136,""KP-46"",""SRS3126547"""	Badagry	PDT000303443.2	2018-04-05T14:43:41Z	Nigeria	pig stool	environmental/other				SAMN07135235	GCA_011153475.1		antigen_formula=16:z10:1,5,serotype=Badagry
Salmonella enterica	CFSAN064249	"CFSAN064249,""KP-301"",""SRS3126552"""	Zongo	PDT000303447.2	2018-04-05T14:43:42Z	Nigeria	pig stool	environmental/other				SAMN07135180	GCA_010471865.1		antigen_formula=3,10:z35:1,7,serotype=Zongo
Salmonella enterica	CFSAN064162	"CFSAN064162,""KP-93"",""SRS3126721"""	Elisabethville	PDT000303454.2	2018-04-05T14:43:43Z	Nigeria	pig stool	environmental/other	PDS000093403.5	3.0	37.0	SAMN07135280	GCA_010787315.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
Salmonella enterica	CFSAN064122	"CFSAN064122,""KP-331"",""SRS3126758"""		PDT000303484.2	2018-04-05T15:41:15Z	Nigeria	pig stool	environmental/other	PDS000029286.1	5.0		SAMN07135204	GCA_005438235.1	fosA7=COMPLETE	antigen_formula=44:z38:-,serotype=Koketime
Salmonella enterica	CFSAN064121	"CFSAN064121,""KP-317"",""SRS3127029"""		PDT000303519.2	2018-04-05T15:41:24Z	Nigeria	pig stool	environmental/other				SAMN07135205	GCA_007639775.1	fosA7=COMPLETE	antigen_formula=44:z38:-,serotype=Koketime
Salmonella enterica	CFSAN064117	"CFSAN064117,""KP-39"",""SRS3127538"""		PDT000303521.2	2018-04-05T15:41:25Z	Nigeria	pig stool	environmental/other	PDS000001378.353	0.0	0.0	SAMN07135209	GCA_007489345.1		antigen_formula=1,3,19:d:e,n,z15,serotype=Liverpool
Salmonella enterica	CFSAN064120	"CFSAN064120,""KP-298"",""SRS3127544"""		PDT000303522.2	2018-04-05T15:41:25Z	Nigeria	pig stool	environmental/other				SAMN07135206	GCA_006073635.1		antigen_formula=4:l,w:-,serotype=I 4:l,w:-
Salmonella enterica	CFSAN064119	"CFSAN064119,""KP-165"",""SRS3127572"""		PDT000303523.2	2018-04-05T15:41:25Z	Nigeria	pig stool	environmental/other	PDS000029286.1	5.0		SAMN07135207	GCA_006143055.1	fosA7=COMPLETE	antigen_formula=44:z38:-,serotype=Koketime
Salmonella enterica	CFSAN064158	"CFSAN064158,""KP-17"",""SRS3127611"""	Elisabethville	PDT000303528.2	2018-04-05T16:40:23Z	Nigeria	pig stool	environmental/other	PDS000029285.1	1.0		SAMN07135213	GCA_007200595.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
Salmonella enterica	CFSAN064140	"CFSAN064140,""KP-104"",""SRS3127707"""	Brancaster	PDT000303529.2	2018-04-05T16:40:23Z	Nigeria	pig stool	environmental/other	PDS000029282.1	0.0		SAMN07135231	GCA_011162315.1		antigen_formula=4:z29:-,serotype=Brancaster
Salmonella enterica	CFSAN064161	"CFSAN064161,""KP-43"",""SRS3127732"""	Elisabethville	PDT000303530.2	2018-04-05T16:40:23Z	Nigeria	pig stool	environmental/other	PDS000029271.2	2.0		SAMN07135281	GCA_010787475.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
Salmonella enterica	CFSAN064138	"CFSAN064138,""KP-91"",""SRS3127749"""	Brancaster	PDT000303531.2	2018-04-05T16:40:24Z	Nigeria	pig stool	environmental/other	PDS000029280.1	8.0		SAMN07135233	GCA_007202715.1		antigen_formula=4:z29:-,serotype=Brancaster
Salmonella enterica	CFSAN064137	"CFSAN064137,""KP-23"",""SRS3127773"""	Brancaster	PDT000303532.2	2018-04-05T16:40:24Z	Nigeria	pig stool	environmental/other	PDS000029282.1	22.0		SAMN07135234	GCA_010787355.1		antigen_formula=4:z29:-,serotype=Brancaster
Salmonella enterica	CFSAN064159	"CFSAN064159,""KP-19"",""SRS3127774"""	Elisabethville	PDT000303533.2	2018-04-05T16:40:24Z	Nigeria	pig stool	environmental/other	PDS000029285.1	1.0		SAMN07135212	GCA_011144575.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
Salmonella enterica	CFSAN064139	"CFSAN064139,""KP-103"",""SRS3127777"""	Brancaster	PDT000303534.2	2018-04-05T17:41:41Z	Nigeria	pig stool	environmental/other	PDS000029282.1	0.0		SAMN07135232	GCA_011145615.1		antigen_formula=4:z29:-,serotype=Brancaster
Salmonella enterica	CFSAN064118	"CFSAN064118,""KP-79"",""SRS3130785"""		PDT000303540.2	2018-04-05T17:41:43Z	Nigeria	pig stool	environmental/other	PDS000001378.353	15.0	15.0	SAMN07135208	GCA_006073355.1		antigen_formula=1,3,19:d:e,n,z15,serotype=Liverpool
Salmonella enterica	CFSAN064168	"CFSAN064168,""KP-401"",""SRS3130802"""		PDT000303542.2	2018-04-05T18:40:06Z	Nigeria	pig stool	environmental/other				SAMN07135274	GCA_006073315.1		antigen_formula=16:i:-,serotype=I 16:i:-
Salmonella enterica	CFSAN064166	"CFSAN064166,""KP-366"",""SRS3130830"""	Elisabethville	PDT000303543.2	2018-04-05T18:40:07Z	Nigeria	pig stool	environmental/other	PDS000093403.5	23.0	39.0	SAMN07135276	GCA_004223585.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
Salmonella enterica	CFSAN064165	"CFSAN064165,""KP-356"",""SRS3130840"""	Elisabethville	PDT000303544.2	2018-04-05T18:40:07Z	Nigeria	pig stool	environmental/other	PDS000029271.2	13.0		SAMN07135277	GCA_007202735.1		antigen_formula=3,10:r:1,7,serotype=Elisabethville
